Latency	Type
45115	S_2115aell
51121	T_2115aell
57621	P_2115aell
61755	R_2115aell
61845	S_2125aell
67838	T_2125aell
74337	P_2125aell
77871	R_2125aell
77902	S_1120a20a
83904	T_1120a20a
90403	P_1120a20a
93795	R_1120a20a
93834	S_0102b02a
99837	T_0102b02a
106336	P_0102b02a
109679	R_0102b02a
109711	S_2116bell
115703	T_2116bell
122203	P_2116bell
125757	R_2116bell
125806	S_0222b22a
131803	T_0222b22a
138302	P_0222b22a
142605	R_0222b22a
142645	S_2219aell
148636	T_2219aell
155135	P_2219aell
158374	R_2219aell
158406	S_3124aell
164402	T_3124aell
170902	P_3124aell
174453	R_3124aell
174486	S_2106bell
180486	T_2106bell
186984	P_2106bell
190453	R_2106bell
190484	S_3120bell
196485	T_3120bell
202984	P_3120bell
206569	R_3120bell
206601	S_2123bell
212601	T_2123bell
219100	P_2123bell
222609	R_2123bell
222636	S_3124bell
228634	T_3124bell
235133	P_3124bell
240036	R_3124bell
240052	S_1124a24a
246050	T_1124a24a
252550	P_1124a24a
255882	R_1124a24a
255917	S_1125b25b
261917	T_1125b25b
268416	P_1125b25b
271806	R_1125b25b
271837	S_1123a23a
277833	T_1123a23a
284332	P_1123a23a
287498	R_1123a23a
287519	S_1120b20b
293516	T_1120b20b
300015	P_1120b20b
303653	R_1120b20b
303694	S_0105a05b
309683	T_0105a05b
316182	P_0105a05b
319616	R_0105a05b
319649	S_3117aell
325649	T_3117aell
332148	P_3117aell
335809	R_3117aell
335833	S_0122a22b
341832	T_0122a22b
348331	P_0122a22b
351579	R_0122a22b
351610	S_3103aell
357598	T_3103aell
364097	P_3103aell
367387	R_3103aell
367418	S_3109aell
373415	T_3109aell
379914	P_3109aell
383526	R_3109aell
383566	S_1008a08a
389564	T_1008a08a
396063	P_1008a08a
399566	R_1008a08a
399583	S_1003a03a
405581	T_1003a03a
412080	P_1003a03a
415374	R_1003a03a
415402	S_1210a10a
421397	T_1210a10a
427896	P_1210a10a
431567	R_1210a10a
431597	S_0007b07a
437596	T_0007b07a
444095	P_0007b07a
447376	R_0007b07a
447406	S_3108bell
453396	T_3108bell
459895	P_3108bell
463493	R_3108bell
463515	S_0020b20a
469512	T_0020b20a
476011	P_0020b20a
479093	R_0020b20a
479131	S_0118a18b
485129	T_0118a18b
491628	P_0118a18b
495325	R_0118a18b
495355	S_2114aell
501345	T_2114aell
507844	P_2114aell
511288	R_2114aell
511321	S_0110a10b
517311	T_0110a10b
523810	P_0110a10b
527366	R_0110a10b
527401	S_2119bell
533394	T_2119bell
539893	P_2119bell
543483	R_2119bell
543505	S_3108aell
549494	T_3108aell
555993	P_3108aell
559407	R_3108aell
559425	S_0118b18a
565427	T_0118b18a
571926	P_0118b18a
575679	R_0118b18a
575726	S_0116b16a
581726	T_0116b16a
588225	P_0116b16a
591603	R_0116b16a
591635	S_1201a01a
597626	T_1201a01a
604125	P_1201a01a
607179	R_1201a01a
607197	S_0007a07b
613192	T_0007a07b
619692	P_0007a07b
623168	R_0007a07b
623187	S_2123aell
629176	T_2123aell
635675	P_2123aell
639555	R_2123aell
639573	S_0110b10a
645576	T_0110b10a
652075	P_0110b10a
656482	R_0110b10a
656500	S_0102a02b
662491	T_0102a02b
668991	P_0102a02b
672624	R_0102a02b
672658	S_3104bell
678658	T_3104bell
685157	P_3104bell
688741	R_3104bell
688763	S_2208aell
694757	T_2208aell
701256	P_2208aell
704434	R_2208aell
