Latency	Type
62467	CON_CRT
73101	RESPONS
79184	CON_CRT
89217	RESPONS
95250	ATT_CRT
105141	RESPONS
111183	ATT_CRT
121025	RESPONS
127049	CON_CRT
137103	RESPONS
143149	ATT_DNT
153951	RESPONS
159982	CON_DNT
169720	RESPONS
175748	CON_CRT
185799	RESPONS
191832	CON_CRT
201799	RESPONS
207831	CON_CRT
217915	RESPONS
223947	CON_CRT
233955	RESPONS
239980	CON_CRT
251382	RESPONS
257396	ATT_CRT
267228	RESPONS
273263	ATT_CRT
283152	RESPONS
289179	ATT_CRT
298844	RESPONS
304862	ATT_CRT
314999	RESPONS
321029	ATT_CRT
330962	RESPONS
336995	CON_CRT
347155	RESPONS
353178	ATT_CRT
362925	RESPONS
368944	CON_CRT
378733	RESPONS
384761	CON_CRT
394872	RESPONS
400910	ATT_WRG
410912	RESPONS
416927	ATT_WRG
426720	RESPONS
432743	ATT_DNT
442913	RESPONS
448942	ATT_WRG
458722	RESPONS
464742	CON_CRT
474839	RESPONS
480858	ATT_WRG
490439	RESPONS
496475	ATT_CRT
506671	RESPONS
512691	CON_CRT
522634	RESPONS
528657	ATT_CRT
538712	RESPONS
544740	CON_CRT
554829	RESPONS
560840	CON_CRT
570753	RESPONS
576773	ATT_CRT
587025	RESPONS
593072	ATT_CRT
602949	RESPONS
608972	ATT_DNT
618525	RESPONS
624538	ATT_WRG
634514	RESPONS
640522	CON_CRT
650901	RESPONS
656922	ATT_CRT
667828	RESPONS
673837	ATT_CRT
683970	RESPONS
690004	CON_CRT
700087	RESPONS
706103	CON_DNT
715780	RESPONS
721803	CON_CRT
731996	RESPONS
738020	ATT_CRT
747573	RESPONS
753585	CON_CRT
763960	RESPONS
769968	ATT_CRT
779692	RESPONS
785719	ATT_CRT
795424	RESPONS
801451	ATT_CRT
810963	RESPONS
817001	CON_CRT
827235	RESPONS
833267	ATT_CRT
842812	RESPONS
848834	CON_CRT
858930	RESPONS
864950	CON_CRT
875355	RESPONS
881366	ATT_WRG
890933	RESPONS
896949	ATT_WRG
906665	RESPONS
912682	ATT_CRT
922590	RESPONS
928615	ATT_CRT
938553	RESPONS
944565	CON_CRT
954979	RESPONS
960998	CON_CRT
971251	RESPONS
977281	CON_CRT
987060	RESPONS
993080	ATT_CRT
1002946	RESPONS
1008963	CON_CRT
1019256	RESPONS
1037713	CON_CRT
1047892	RESPONS
1053912	ATT_WRG
1064126	RESPONS
1070146	ATT_CRT
1081400	RESPONS
1087411	CON_CRT
1097749	RESPONS
1103761	ATT_CRT
1113751	RESPONS
1119778	ATT_CRT
1129869	RESPONS
1135877	CON_CRT
1145987	RESPONS
1151993	CON_CRT
1161489	RESPONS
1167527	CON_CRT
1177760	RESPONS
1183776	CON_CRT
1194418	RESPONS
1200443	ATT_CRT
1210459	RESPONS
1216475	CON_DNT
1226036	RESPONS
1232058	CON_WRG
1241906	RESPONS
1247941	CON_WRG
1257793	RESPONS
1263825	CON_CRT
1273872	RESPONS
1279891	CON_CRT
1290183	RESPONS
1296190	CON_WRG
1306494	RESPONS
1312524	ATT_CRT
1322574	RESPONS
1328590	CON_WRG
1338422	RESPONS
1344440	ATT_CRT
1354602	RESPONS
1360623	ATT_CRT
1371877	RESPONS
1377888	ATT_DNT
1389576	RESPONS
1395588	CON_CRT
1405733	RESPONS
1411754	ATT_CRT
1422044	RESPONS
1428054	ATT_CRT
1438124	RESPONS
1444138	CON_CRT
1454188	RESPONS
1460203	ATT_CRT
1470423	RESPONS
1476437	ATT_CRT
1486117	RESPONS
1492137	CON_CRT
1502852	RESPONS
1508869	ATT_CRT
1518817	RESPONS
1524836	CON_CRT
1535552	RESPONS
1541568	CON_CRT
1553406	RESPONS
1559418	CON_CRT
1569794	RESPONS
1575818	CON_CRT
1585488	RESPONS
1591500	ATT_CRT
1601761	RESPONS
1607767	ATT_CRT
1618613	RESPONS
1624634	ATT_DNT
1635193	RESPONS
1641216	CON_CRT
1651274	RESPONS
1657282	CON_CRT
1667740	RESPONS
1673765	ATT_CRT
1683743	RESPONS
